pair_id,topic,topic_name,opcao_A_condition,opcao_A_stem_preview,opcao_A_source_chunk_id,opcao_B_condition,opcao_B_stem_preview,opcao_B_source_chunk_id
14,medicao_fiscal_offloading,"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",context-grounded,"Em uma operação de offloading de petróleo bruto de um FPSO para um navio tanque,",corpusPublico(sem IBICT)-SemProcessamento.txt:1854967-1854978,instruction-only,"Na validação dos dados de produção de petróleo em um FPSO, o sistema de medição ",
15,medicao_fiscal_offloading,"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",instruction-only,Durante a operação de offloading de petróleo bruto de um FPSO para um navio tanq,,context-grounded,Uma FPSO opera em regime de compartilhamento de produção com múltiplos parceiros,corpusPublico(sem IBICT)-SemProcessamento.txt:46975-46986
16,medicao_fiscal_offloading,"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",instruction-only,Um FPSO está instalando um novo sistema de medição de gás natural para venda. O ,,context-grounded,Um engenheiro de medição está avaliando a conformidade de um sistema de medição ,corpusPublico(sem IBICT)-SemProcessamento.txt:1854967-1854978
17,medicao_fiscal_offloading,"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",instruction-only,Um FPSO opera com um sistema de medição de transferência de custódia (Custody Tr,,context-grounded,"Durante a operação de offloading em uma FPSO, o sistema de medição fiscal (CMF) ",corpusPublico(sem IBICT)-SemProcessamento.txt:46975-46986
18,medicao_fiscal_offloading,"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",context-grounded,"Em um FPSO em operação, ocorre uma divergência significativa entre os volumes me",corpusPublico(sem IBICT)-SemProcessamento.txt:3299263-3299274,instruction-only,"Na configuração do sistema de tratamento de dados de um FPSO, o software de medi",
19,produtos_quimicos,Produtos químicos,instruction-only,Um FPSO opera em águas profundas e utiliza Glicol Monometílico (MEG) para inibiç,,context-grounded,Um engenheiro de química de reservatório está avaliando o programa de injeção de,corpusPublicoIBICT-SemProcessamento.txt:212071-212082
20,produtos_quimicos,Produtos químicos,instruction-only,Na seleção de inibidores de incrustação (scale inhibitors) para injeção em poços,,context-grounded,"Em um FPSO operando em um campo maduro, o monitoramento da água produzida revela",corpusPublicoIBICT-SemProcessamento.txt:371287-371298
21,produtos_quimicos,Produtos químicos,instruction-only,"Durante a operação de um FPSO, observa-se um aumento súbito no teor de água no ó",,context-grounded,"Em um sistema de injeção de água em um campo offshore, a equipe de operações obs",corpusPublico(sem IBICT)-SemProcessamento.txt:1821415-1821426
22,produtos_quimicos,Produtos químicos,context-grounded,"Em uma unidade FPSO, a água produzida é separada e direcionada para tratamento a",corpusPublicoIBICT-SemProcessamento.txt:212071-212082,instruction-only,Um FPSO utiliza um sistema de injeção de água do mar tratada com remoção de sulf,
23,produtos_quimicos,Produtos químicos,context-grounded,"Em uma unidade FPSO, a água produzida contém altas concentrações de gás sulfídri",corpusPublicoIBICT-SemProcessamento.txt:371293-371304,instruction-only,Durante a operação de um sistema de injeção de gás (nitrogênio ou gás natural) p,
24,produtos_quimicos,Produtos químicos,instruction-only,"Em um sistema de injeção de água em um campo offshore, a unidade de remoção de s",,context-grounded,"Em uma unidade FPSO, o aumento significativo do volume de água produzida exige u",corpusPublicoIBICT-SemProcessamento.txt:2612815-2612826
25,tratamento_agua_produzida,Tratamento de água produzida para descarte,context-grounded,"Em uma unidade FPSO, o sistema de tratamento de água produzida utiliza hidrocicl",corpusPublico(sem IBICT)-SemProcessamento.txt:431323-431334,instruction-only,"Em um FPSO operando sob condições de alta salinidade e temperatura, a água produ",
26,tratamento_agua_produzida,Tratamento de água produzida para descarte,context-grounded,Uma unidade FPSO está em fase de otimização do processo de tratamento de água pr,corpusPublicoIBICT-SemProcessamento.txt:1447363-1447374,instruction-only,A legislação ambiental brasileira e as condicionantes de licenciamento exigem qu,
27,tratamento_agua_produzida,Tratamento de água produzida para descarte,instruction-only,"Durante a operação de um skimming vessel associado a um FPSO, observa-se que a e",,context-grounded,"Em uma operação de FPSO, o monitoramento on-line indica um aumento súbito e sust",corpusPublico(sem IBICT)-SemProcessamento.txt:1403353-1403364
28,tratamento_agua_produzida,Tratamento de água produzida para descarte,context-grounded,"Em uma operação de FPSO, os hidrociclones são dimensionados para aproveitar a en",corpusPublico(sem IBICT)-SemProcessamento.txt:1186051-1186062,instruction-only,A conformidade com a legislação ambiental brasileira para descarte de água produ,
29,tratamento_agua_produzida,Tratamento de água produzida para descarte,context-grounded,"Em uma FPSO operando no Brasil, o sistema de monitoramento de TOG em linha apres",corpusPublico(sem IBICT)-SemProcessamento.txt:764431-764442,instruction-only,"Durante um inspeção de rotina, é identificado que os filtros de carvão ativado u",
30,tratamento_agua_produzida,Tratamento de água produzida para descarte,context-grounded,Um engenheiro de processo está avaliando a conformidade ambiental do sistema de ,corpusPublico(sem IBICT)-SemProcessamento.txt:1403353-1403364,instruction-only,Na avaliação da eficiência de um sistema de hidrociclones para tratamento de águ,
