id,topico,subtopico,dificuldade_fase3,nota,stem,correct_answer_index,qwen2.5:7b-instruct,phi4-mini:latest,llama3.2:3b,n_modelos_corretos,dificuldade_estimada
80d9d9002a-f0-d0-r7-q0,Produção e Processo (Medição Fiscal e Sistema de Alívio),"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",Difícil,0.89,"Em um FPSO, a equipe observa desgaste acelerado do mangote de offloading e dificuldade de desconexão em emergência quando o navio aliviador precisa manobrar sob mar agitado. Além disso, a seção de medição fiscal próxima ao mangote tem variações por possíveis dobras e instabilidades do escoamento. Qual alteração de projeto melhor endereça simultaneamente a integridade do mangote e a confiabilidade metrológica?",3,True,False,True,2,Média
80d9d9002a-f0-d0-r7-q1,Produção e Processo (Medição Fiscal e Sistema de Alívio),"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",Média,0.88,"Durante o offloading de óleo viscoso, com variação de água e ocasional arraste de gás, há poucos trechos retos e risco de estratificação em partes da linha. Para medição fiscal em transferência de custódia, qual arranjo é mais adequado?",3,True,False,True,2,Média
80d9d9002a-f0-d0-r7-q2,Produção e Processo (Medição Fiscal e Sistema de Alívio),"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",Média,0.85,"Um módulo de exportação de gás em uma unidade de produção apresenta uma curva imediatamente a montante do skid de medição e espaço restrito para trechos retos, com possibilidade de formação de filme de condensado em trechos inclinados. Visando a transferência de custódia, qual solução de medição e instalação tende a preservar melhor a integridade metrológica?",2,True,True,True,3,Fácil
80d9d9002a-f0-d0-r7-q3,Produção e Processo (Medição Fiscal e Sistema de Alívio),"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",Média,0.85,"Após eventos de desconexão em emergência, verificou-se que o movimento do mangote transmite esforços ao trecho medido, alterando a geometria local e impactando a medição fiscal. Qual reconfiguração reduz o risco mecânico e preserva a integridade metrológica?",2,True,False,True,2,Média
80d9d9002a-f0-d0-r7-q4,Produção e Processo (Medição Fiscal e Sistema de Alívio),"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",Média,0.81,"Em um campo com relatos de alta fração de água no início do carregamento do navio aliviador, simulações indicam tendência de concentração de água na parte inferior da linha de transferência em certas vazões. Considerando os requisitos de medição fiscal, qual medida que integra projeto e operação reduz o carreamento de água e aumenta a confiabilidade da transferência de custódia?",2,True,True,True,3,Fácil
80d9d9002a-f0-d0-r7-q5,Produção e Processo (Medição Fiscal e Sistema de Alívio),"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",Média,0.89,"Após anos de operação, observam-se deriva metrológica e aumento de perdas de carga no sistema de offloading, com trechos enterrados e de difícil acesso. Qual estratégia de manutenção e inspeção é mais adequada para sustentar a integridade da linha e a confiabilidade da medição fiscal?",2,True,True,True,3,Fácil
80d9d9002a-f0-d0-r8-q0,Produção e Processo (Medição Fiscal e Sistema de Alívio),"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",Média,0.88,"Durante o redesenho do trecho de medição fiscal no offloading de um FPSO, a equipe relatou dificuldades de desconexão em emergências e desgaste acelerado do mangote por dobras quando se utilizavam conexões flangeadas. Qual solução de arranjo físico melhor mitiga esses riscos sem comprometer a integridade metrológica do trecho medido?",2,True,True,True,3,Fácil
80d9d9002a-f0-d0-r8-q1,Produção e Processo (Medição Fiscal e Sistema de Alívio),"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",Média,0.87,"Em auditoria de medição fiscal de óleo durante offloading, observou-se viés associado à estratificação, com água concentrada na parte inferior da linha. Para reduzir esse efeito na indicação volumétrica, qual configuração de instalação é mais indicada?",0,True,True,True,3,Fácil
80d9d9002a-f0-d0-r8-q2,Produção e Processo (Medição Fiscal e Sistema de Alívio),"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",Média,0.81,Um FPSO executa offloading de óleo com viscosidade variável e ocorrência intermitente de bolhas de gás dispersas. Pretende-se manter transferência de custódia volumétrica dentro dos requisitos. Qual escolha de tecnologia e arranjo de instalação é mais adequada?,2,True,True,True,3,Fácil
80d9d9002a-f0-d0-r8-q3,Produção e Processo (Medição Fiscal e Sistema de Alívio),"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",Média,0.85,"No projeto de medição fiscal de gás em uma linha de offloading com dupla curva a montante e espaço limitado, há preocupação com uniformidade do perfil de velocidade e eventuais traços de líquido. Qual solução equilibra melhor os requisitos metrológicos e as restrições de implantação?",1,True,True,True,3,Fácil
80d9d9002a-f0-d0-r8-q4,Produção e Processo (Medição Fiscal e Sistema de Alívio),"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",Média,0.8,"Antes do início da medição fiscal no offloading, os procedimentos de deslocamento da linha precisam ser ajustados para reduzir a chegada de água ao navio aliviador e melhorar a representatividade do escoamento no trecho medido. Qual entendimento sobre o efeito da vazão de deslocamento orienta melhor o dimensionamento do trecho de medição e os critérios operacionais?",1,False,False,False,0,Difícil
80d9d9002a-f0-d0-r8-q5,Produção e Processo (Medição Fiscal e Sistema de Alívio),"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",Média,0.89,"Para assegurar a confiabilidade da medição fiscal ao longo do tempo, a integridade da linha de transferência deve ser verificada periodicamente. Considerando limitações de acesso e a necessidade de avaliar perda de material e espessura de parede, qual estratégia de inspeção é mais consistente com as boas práticas descritas?",1,True,True,True,3,Fácil
80d9d9002a-f0-d0-r10-q0,Produção e Processo (Medição Fiscal e Sistema de Alívio),"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",Média,0.87,"Durante uma revisão do arranjo de offloading de um FPSO após um quase-incidente em mar agitado, a equipe constatou desgaste acelerado do mangote por dobras e desvios na medição fiscal, especialmente quando o navio aliviador precisou manobrar. Qual modificação de arranjo deve ser priorizada para reduzir esforços mecânicos no mangote e preservar a integridade metrológica da seção medida?",2,True,True,True,3,Fácil
80d9d9002a-f0-d0-r10-q1,Produção e Processo (Medição Fiscal e Sistema de Alívio),"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",Média,0.85,"Em um offloading conduzido a baixa vazão por restrições logísticas, observou-se aumento de água entregue ao navio aliviador e flutuação no volume fiscal. Considerando a tendência de estratificação e a exigência de perfil uniforme na seção de medição, qual decisão de tecnologia e instalação tende a reduzir o viés na medição?",1,True,True,True,3,Fácil
80d9d9002a-f0-d0-r10-q2,Produção e Processo (Medição Fiscal e Sistema de Alívio),"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",Média,0.89,"No retrofit de um skid de medição fiscal no offloading do FPSO, cogita-se aproximar o medidor do mangote para reduzir o espaço ocupado. Sabendo que o acoplamento BLS fornece articulação para aliviar momentos no conjunto, qual configuração melhor concilia a integridade do mangote com a estabilidade geométrica da seção metrológica?",2,True,False,False,1,Difícil
80d9d9002a-f0-d0-r10-q3,Produção e Processo (Medição Fiscal e Sistema de Alívio),"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",Média,0.85,"Antes de uma transferência de custódia, simulações indicaram tendência de concentração de água na parte inferior da linha de offloading em baixas vazões, com impacto na qualidade do fluido e na exatidão metrológica. Qual ajuste de procedimento e arranjo de instalação melhora a representatividade do escoamento na seção de medição e mitiga a entrega de água ao navio aliviador?",0,True,True,False,2,Média
80d9d9002a-f0-d0-r10-q4,Produção e Processo (Medição Fiscal e Sistema de Alívio),"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",Média,0.9,"Após deriva no fator de medição fiscal e variação de perda de carga, suspeita-se de incrustações e perda de material na linha de transferência parcialmente enterrada. Qual plano de manutenção e inspeção dá suporte mais direto à confiabilidade metrológica e à segurança da transferência?",3,True,True,True,3,Fácil
80d9d9002a-f0-d0-r10-q5,Produção e Processo (Medição Fiscal e Sistema de Alívio),"Medição Fiscal de óleo, medição fiscal de gás e transferência de custódia em operações de offloading",Média,0.89,"Em uma transferência fiscal de gás em que pode ocorrer carreamento de gotículas por separação incompleta a montante, deve-se escolher a tecnologia de medição e o arranjo de instalação de modo a preservar a integridade metrológica. Qual alternativa atende melhor às exigências de homogeneidade do escoamento e representatividade da composição na seção de medição?",2,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r1-q0,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.87,"No comitê de direção de um FPSO, a alta gestão afirma que várias práticas do SGSO já constam em regulamentos e propõe congelar o orçamento do programa de integração. Qual decisão gerencial é mais coerente com liderança, alocação de recursos e melhoria contínua?",2,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r1-q1,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.92,"Durante a elaboração da matriz de correlação exigida pela ANP, a equipe constata que o organograma não explicita quem responde por práticas de gestão do SGSO. Qual abordagem melhor assegura a ligação entre arranjo organizacional, processos e práticas?",2,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r1-q2,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.91,"Após um incidente a bordo do FPSO, a investigação interna apontou falhas nos canais de comunicação entre a equipe embarcada e a gestão em terra, além de registros inconsistentes de não conformidades. Qual ação gerencial demonstra compromisso e sustenta a cultura de segurança prevista no SGSO?",1,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r1-q3,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.91,"Na integração de uma nova contratada de manutenção para o FPSO, surgem divergências sobre expectativas de segurança e responsabilidades nas interfaces. Com recursos limitados, qual estratégia de gestão melhor atende às práticas do SGSO para contratadas e fatores humanos?",2,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r1-q4,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.87,"Uma equipe do FPSO está preparando o Descritivo da Unidade Marítima, a matriz de correlação e o relatório da Concessão, e considera suficientes descrições de alto nível para cumprir prazos. Qual alternativa reforça a conformidade e a capacidade de demonstrar o atendimento às práticas do SGSO?",1,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r2-q1,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Fácil,0.9,"Após um quase-incidente no FPSO, a direção quer comprovações concretas, dentro do SGSO, de que o compromisso com a segurança está sendo exercido. Que decisão gerencial mais integra patrocínio da alta liderança, transparência interna e um ciclo de aperfeiçoamento?",1,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r2-q2,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.86,"Na revisão do orçamento do SGSO, a diretoria observa que diversas práticas já estão cobertas por regulamentos técnicos e questiona investimentos adicionais. Qual abordagem técnica sustenta uma alocação de recursos equilibrada?",1,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r2-q4,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.89,"Ao engajar uma empresa de manutenção para um FPSO, a operadora deve evidenciar compromisso gerencial na integração com seu sistema de segurança operacional, incluindo aspectos de ergonomia e interfaces de operação. Qual abordagem demonstra essa responsabilidade na gestão de contratadas?",2,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r2-q5,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Fácil,0.86,"O comitê de segurança do FPSO quer fortalecer a cultura de segurança e medir a efetividade das iniciativas. Entre as propostas, qual conjunto de ações é mais aderente às práticas do SGSO e favorece a melhoria contínua?",3,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r3-q0,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.87,Uma operadora de FPSO possui um sistema já alinhado à Resolução ANP <NUMBER> e pretende iniciar operações. A gerência argumenta que a sobreposição entre requisitos reduzirá esforços adicionais. Qual decisão mais coerente com o SGSO para equilibrar conformidade e desempenho de segurança?,3,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r3-q1,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.91,"Durante a investigação de um incidente, verificou-se que os papéis de gestão e os fluxos de reporte estavam pouco definidos, dificultando a implementação de ações corretivas. Para fortalecer o SGSO e evidenciar conformidade, qual abordagem é mais apropriada?",3,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r3-q2,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.94,"Em auditoria interna, constatou-se que não conformidades críticas circulam por e-mail sem trilha de rastreio e que ações corretivas não se conectam a lições aprendidas. Qual redesenho de comunicação e gestão da informação é mais alinhado ao SGSO?",3,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r3-q3,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.9,"Uma contratada de manutenção no topside apresenta oscilações de performance e registros de desconforto ocupacional. À luz do SGSO, qual ação gerencial fortalece a interface e reduz o risco operacional?",0,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r3-q4,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.9,"Mesmo após ações de capacitação e campanhas, o reporte de quase-incidentes segue baixo e os desvios se repetem. No SGSO, qual ajuste de gestão é mais adequado a esse cenário?",3,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r3-q5,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.93,"Durante uma verificação de compliance, a equipe constata que gestão de barreiras e aplicação de métodos formais de análise de risco não aparecem de forma explícita nos artefatos requeridos (por exemplo, DUM e matriz de correlação). Qual resposta gerencial alinhada ao SGSO é mais adequada?",1,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r5-q0,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.94,"Na preparação da matriz de correlação a ser enviada à ANP, o gestor deve mostrar como o SGSO se integra à organização e às rotinas operacionais. Que formato de matriz melhor garante rastreabilidade entre requisitos, funções, fluxos de trabalho e comprovações?",1,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r5-q3,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.92,"A equipe precisa organizar os fluxos de comunicação e a gestão documental para que riscos, não conformidades e ações corretivas sejam comunicados e rastreáveis, além de viabilizar auditoria/fiscalização e o mapeamento aos requisitos da ANP. Qual desenho de sistema atende a esses objetivos?",0,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r5-q4,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.94,"Uma FPSO opera com múltiplas contratadas, com práticas de segurança heterogêneas. O gestor deve assegurar que as interfaces com terceiros e os fatores humanos estejam conformes ao SGSO. Qual abordagem está mais alinhada às práticas de gestão requeridas?",0,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r5-q5,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.91,"Comparativos internos mostram sobreposição entre o SGSO e a regulação vigente, mas evidenciam falhas no controle de barreiras e na aplicação de métodos formais de análise de risco. Que resposta gerencial assegura conformidade e robustez operacional?",1,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r6-q0,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.87,"Um FPSO prestes a iniciar operações deve entregar à ANP o DUM, a matriz de correlação e o relatório da concessão. A direção quer que esse esforço também reforce a governança do SGSO, clarificando funções e interfaces. Que abordagem melhor atende à fiscalização e, ao mesmo tempo, consolida a organização e as responsabilidades?",0,True,True,False,2,Média
2f51e62cdd-f0-d0-r6-q1,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Fácil,0.93,"Durante a revisão orçamentária de um FPSO, a alta gestão enfrenta restrições de caixa, mas deseja evidenciar compromisso com o SGSO. Qual decisão orçamentária melhor traduz esse compromisso de forma verificável?",3,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r6-q2,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.92,"Após desvios operacionais sem lesões, a tripulação do FPSO relata medo de notificar quase-incidentes por percepção de punição. A gerência quer fortalecer a cultura de segurança e a comunicação no SGSO. Qual medida é mais consistente com esse objetivo?",2,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r6-q3,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.91,Uma grande campanha de manutenção no FPSO será executada com várias contratadas. A gerência busca reduzir riscos de interface e assegurar conformidade com o SGSO. Qual abordagem de gestão de terceiros é mais alinhada às práticas esperadas?,0,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r6-q4,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.92,"Após um ano de operação, os indicadores de segurança do FPSO estagnaram e há não conformidades recorrentes. A alta gestão deseja evidenciar governança e melhoria contínua no SGSO. Qual ação é mais apropriada?",1,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r6-q5,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.92,"Um auditor interno identificou registros dispersos e lacunas na rastreabilidade de incidentes no FPSO. Para sustentar o SGSO e comprovar conformidade, qual desenho de gestão da informação é mais adequado?",2,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r7-q0,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.94,"Durante a mobilização de um FPSO, a diretoria busca demonstrar adesão ao SGSO aproveitando programas já exigidos por regulamentos. Que decisão da alta gestão melhor materializa seu compromisso com a cultura de segurança e a implantação do SGSO?",3,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r7-q1,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.91,"Uma equipe de gestão do FPSO precisa elaborar a matriz de correlação entre as práticas do SGSO e o sistema de gerenciamento da empresa antes do início das operações. Qual modo de trabalho produz um vínculo rastreável e passível de auditoria, coerente com a estrutura organizacional e com as práticas de liderança, pessoal e gestão?",3,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r7-q2,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.91,"Em uma revisão de planejamento orçamentário, a gerência do FPSO identifica sobreposição entre práticas do SGSO e exigências regulatórias já atendidas. Considerando a necessidade de integração e melhoria contínua, qual plano de alocação de recursos é mais adequado?",3,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r7-q4,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.91,"Durante uma campanha de manutenção no FPSO com grande presença de contratadas, a gerência deve garantir que o SGSO esteja efetivamente integrado nas interfaces de trabalho e na gestão de fatores humanos. Qual ação gerencial melhor atende a esse objetivo?",1,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r7-q5,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.91,"À véspera do início de operação do FPSO, a companhia se prepara para uma verificação de conformidade. Considerando os requisitos de liderança, alocação de recursos, comunicação e cultura de segurança do SGSO, que conjunto de evidências reforça o comprometimento da alta gestão e a eficácia da estrutura organizacional?",0,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r9-q1,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.91,"Diante do argumento de que diversas práticas do SGSO já constam em normas da ANP e de proposta de manter apenas compliance documental reduzindo capacitações e integração, qual decisão gerencial preserva eficiência sem perder desempenho?",2,True,False,True,2,Média
2f51e62cdd-f0-d0-r9-q2,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.89,"Durante a preparação dos documentos para início de operação de um FPSO, o time precisa construir a matriz de correlação e organizar o Descritivo da Unidade Marítima. Para fortalecer a comunicação e o controle internos, qual princípio de design do sistema de gestão é mais adequado?",1,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r9-q3,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.92,"Em um FPSO, observou-se subnotificação de quase-acidentes e inconsistências no fechamento de ações corretivas. A gerência quer reforçar a cultura de segurança e a eficácia do SGSO. Qual abordagem é mais alinhada a esse propósito?",2,True,True,True,3,Fácil
2f51e62cdd-f0-d0-r9-q4,"Segurança Operacional, SGSO, Sistemas de Segurança e Gestão de Riscos",SGSO,Média,0.91,"Uma contratada de manutenção em um FPSO adota práticas internas distintas das do operador. Para assegurar alinhamento ao SGSO e tratar aspectos humanos nas interfaces, qual orientação gerencial é mais adequada?",0,True,True,True,3,Fácil
ffde36b030-f0-d0-r1-q0,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.92,"Um trem de compressão de gás em um FPSO apresenta tendência de aumento de vibração e temperatura de mancais, ainda dentro de limites, e a redundância é limitada. A equipe deve reduzir o risco de falha sem perda desnecessária de disponibilidade. Qual ajuste é mais coerente com RCM, priorizando impacto em segurança e produção?",2,True,True,True,3,Fácil
ffde36b030-f0-d0-r1-q1,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.9,"No teste mensal, uma bomba de combate a incêndio a diesel não cumpre o tempo de partida do PS, com os demais elementos operacionais. Para manter a continuidade sem elevar o risco, qual ação de governança é mais adequada?",0,True,True,True,3,Fácil
ffde36b030-f0-d0-r1-q3,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.86,"Uma equipe está implantando um sistema especialista inspirado em RCM para uma unidade hidráulica de atuadores de válvulas, configurável conforme o arranjo do circuito e o modo de operação. Qual benefício prático essa integração traz para a tomada de decisão de manutenção?",1,True,True,True,3,Fácil
ffde36b030-f0-d0-r1-q5,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.89,"Um mangote de offloading de óleo tem histórico de desgaste. A criticidade é avaliada considerando segurança, meio ambiente, produção e custo. Qual diretriz de manutenção melhor reflete boas práticas de priorização por criticidade?",1,True,True,True,3,Fácil
ffde36b030-f0-d0-r2-q1,"Manutenção, Inspeção e Integridade de Ativos",Manutenção e Plano de Manutenção,Média,0.91,"Durante testes, um SCE de combate a incêndio não atende ao PS estabelecido quanto ao tempo de partida. A operação deseja manter o FPSO produzindo enquanto a correção é planejada. Qual procedimento é mais adequado para garantir conformidade com a governança técnica e a gestão de risco?",1,True,True,True,3,Fácil
